,Season,team,team_full_name,avg_age,avg_exp,avg_weight,avg_height,Odds,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,winner,ranking
54,2023,TOR,Toronto Raptors,25.75,4.3,213.85,78.95,50000,35448672,1836090.0,149485166,1,24,1,0,9.0
55,2024,TOR,Toronto Raptors,25.9,4.266666666666667,208.33333333333331,77.96666666666667,50000,23883929,3000000.0,161292652,0,25,1,0,12.0
56,2023,UTA,Utah Jazz,25.695652173913043,4.3478260869565215,220.95652173913044,78.69565217391305,50000,46295265,2298385.0,147924401,1,24,0,0,12.0
57,2024,UTA,Utah Jazz,24.23809523809524,3.1904761904761907,220.52380952380952,79.04761904761905,50000,25340000,2586665.0,131557410,0,23,0,0,12.0
58,2023,WAS,Washington Wizards,25.565217391304348,3.347826086956522,209.2173913043478,78.69565217391305,100000,43279250,1836090.0,150006207,2,21,0,0,12.0
59,2024,WAS,Washington Wizards,25.166666666666668,3.875,214.5,79.125,100000,27455357,2337720.0,148282937,0,25,0,0,14.0
60,2025,ATL,Atlanta Hawks,25.3,3.7,217.10526315789477,78.95,15000,43031940,6059520.0,169529070,1,14,0,0,
61,2025,BOS,Boston Celtics,26.318181818181817,4.727272727272728,220.31578947368425,79.31818181818181,300,49700000,3256341.5,201620656,1,15,18,0,
62,2025,BRK,Brooklyn Nets,24.94736842105263,3.947368421052632,214.11111111111111,79.05263157894737,100000,40338144,4041249.0,165717974,1,14,0,0,
63,2025,CHI,Chicago Bulls,24.952380952380956,3.619047619047619,213.5,78.47619047619048,50000,43031940,7000000.0,166079908,1,14,6,0,
64,2025,CHO,Charlotte Hornets,25.5,3.4,210.72222222222223,78.7,100000,35147000,5250000.0,153709214,1,16,0,0,
65,2025,CLE,Cleveland Cavaliers,25.75,4.2,208.26315789473685,77.95,5000,36725670,8500000.0,161102772,2,11,1,0,
66,2025,DAL,Dallas Mavericks,26.571428571428573,5.0,216.26315789473685,79.14285714285714,1000,43031940,4655621.0,175208588,2,14,1,0,
67,2025,DEN,Denver Nuggets,25.714285714285715,4.047619047619048,226.07142857142856,79.28571428571429,750,51415938,3089640.0,177183025,3,10,1,0,
68,2025,DET,Detroit Pistons,24.444444444444443,3.055555555555556,209.4,78.55555555555556,100000,25365854,7850120.0,129091348,0,14,3,0,
69,2025,GSW,Golden State Warriors,26.714285714285715,4.761904761904762,213.0,78.23809523809524,3000,55761216,8390244.0,176598341,1,13,5,0,
70,2025,HOU,Houston Rockets,25.5,3.888888888888889,220.66666666666663,78.66666666666667,10000,42846615,9249960.0,165026987,1,14,2,0,
71,2025,IND,Indiana Pacers,25.05263157894737,3.736842105263158,213.0625,79.10526315789474,5000,42176400,5398950.5,166475639,2,14,3,0,
72,2025,LAC,Los Angeles Clippers,27.15,5.95,216.4705882352941,78.1,3000,49205800,4668000.0,170238451,1,14,0,0,
73,2025,LAL,Los Angeles Lakers,25.7,4.4,216.94117647058823,79.4,3000,48728845,8928571.5,187028846,2,12,12,0,
74,2025,MEM,Memphis Grizzlies,25.05,3.15,213.26666666666668,78.9,4000,36725670,4858705.5,177014145,1,15,0,0,
75,2025,MIA,Miami Heat,26.7,5.05,218.75,78.0,4000,48798677,4655040.0,184058374,1,12,3,0,
76,2025,MIL,Milwaukee Bucks,27.157894736842103,5.368421052631579,219.11111111111111,79.0,1100,48787676,2764507.0,191009786,2,12,2,0,
77,2025,MIN,Minnesota Timberwolves,26.210526315789476,4.578947368421052,220.53333333333333,79.26315789473684,850,49205800,5287710.0,205560682,3,11,0,0,
78,2025,NOP,New Orleans Pelicans,25.75,3.15,210.94117647058823,78.4,5000,36725670,5159854.0,163702985,3,8,0,0,
79,2025,NYK,New York Knicks,25.94736842105263,4.473684210526316,216.4,78.15789473684211,725,36637932,11445000.0,173561472,1,12,2,0,
80,2025,OKC,Oklahoma City Thunder,24.210526315789476,2.3684210526315788,204.83333333333331,78.6842105263158,900,35859950,6669000.0,159241956,1,14,0,0,
81,2025,ORL,Orlando Magic,25.09523809523809,4.0,213.85,78.71428571428571,8000,25000000,9057971.0,150359238,0,15,0,0,
82,2025,PHI,Philadelphia 76ers,27.210526315789476,5.842105263157895,219.92857142857144,77.6842105263158,1400,51415938,7975000.0,176179246,2,9,2,0,
83,2025,PHO,Phoenix Suns,28.047619047619047,5.761904761904762,215.76470588235293,78.33333333333333,3500,51179021,8250000.0,219627801,3,10,0,0,
84,2025,POR,Portland Trail Blazers,24.42105263157895,3.1578947368421053,209.94444444444449,79.21052631578948,100000,34005126,6614160.0,167086613,1,16,1,0,
85,2025,SAC,Sacramento Kings,26.15,4.45,211.8125,78.5,6600,40500000,8000000.0,167640684,2,11,0,0,
86,2025,SAS,San Antonio Spurs,24.38095238095238,3.6666666666666665,208.27777777777777,78.61904761904762,10000,29347826,9104643.5,142918889,1,13,5,0,
87,2025,TOR,Toronto Raptors,25.36842105263158,3.631578947368421,210.6153846153846,78.21052631578948,50000,32500000,10130980.0,155718137,1,12,1,0,
88,2025,UTA,Utah Jazz,24.6,3.45,216.3125,78.6,50000,42176400,5469120.0,128678582,2,9,0,0,
89,2025,WAS,Washington Wizards,24.94117647058824,3.941176470588236,219.5,79.47058823529412,100000,29651786,6692959.0,158877689,0,16,0,0,
